SYear,Species,Age,biomass,numAge,Common_name,Func_group,Func_ID,towtime,BioPerTrawl
1971,803,1,0.616886,1,Walleye,Piscivore,4,210,0.002937552380952381
1972,402,1,0.8212,4,Carp,Omnivore,5,404,0.002032673267326733
1977,405,1,2.913027,82,White Sucker,Benthic invertivore,1,310,0.009396861290322581
1980,202,1,0.2,2,Cisco,Planktivore,2,405,4.938271604938272e-4
1980,203,1,1.9,6,Lake Whitefish,Benthic invertivore,1,405,0.004691358024691358
1980,607,1,0.1,1,Smallmouth Bass,Piscivore,4,405,2.469135802469136e-4
1981,803,1,0.1,1,Walleye,Piscivore,4,126,7.936507936507937e-4
1982,803,1,3,11,Walleye,Piscivore,4,280,0.010714285714285714
1983,203,1,0.9,22,Lake Whitefish,Benthic invertivore,1,337,0.0026706231454005935
1983,803,1,0.30000000000000004,3,Walleye,Piscivore,4,337,8.902077151335313e-4
1984,203,1,0.4,3,Lake Whitefish,Benthic invertivore,1,228,0.0017543859649122807
1984,803,1,0.1,1,Walleye,Piscivore,4,228,4.385964912280702e-4
1985,203,1,0.1,2,Lake Whitefish,Benthic invertivore,1,138,7.246376811594203e-4
1985,803,1,0.5,6,Walleye,Piscivore,4,138,0.0036231884057971015
2018,119,1,4,5,Channel Catfish,Omnivore,5,230,0.017391304347826087
2018,132,1,11.18,60,White Perch,Benthic invertivore,1,230,0.04860869565217391
2018,133,1,1.6,11,White Bass,Piscivore,4,230,0.006956521739130435
2018,134,1,48.7,63,Freshwater Drum,Benthic invertivore,1,230,0.21173913043478262
2018,402,1,132.4,25,Carp,Omnivore,5,230,0.5756521739130435
2018,403,1,1.5,1,Quillback,Benthic invertivore,1,230,0.006521739130434782
2018,405,1,46.9,52,White Sucker,Benthic invertivore,1,230,0.20391304347826086
2018,408,1,0.1,1,Bigmouth Buffalo,Planktivore,2,230,4.347826086956522e-4
2019,108,1,0.1,1,Gizzard Shad,Planktivore,2,225,4.4444444444444447e-4
2019,118,1,0.2,1,Brown Bullhead,Omnivore,5,225,8.888888888888889e-4
2019,119,1,0.8200000000000001,11,Channel Catfish,Omnivore,5,225,0.0036444444444444445
2019,132,1,12,46,White Perch,Benthic invertivore,1,225,0.05333333333333334
2019,133,1,0.4,1,White Bass,Piscivore,4,225,0.0017777777777777779
2019,134,1,141.4,161,Freshwater Drum,Benthic invertivore,1,225,0.6284444444444445
2019,402,1,172.3,29,Carp,Omnivore,5,225,0.7657777777777778
2019,403,1,13.799999999999999,9,Quillback,Benthic invertivore,1,225,0.06133333333333333
2019,405,1,66.2,72,White Sucker,Benthic invertivore,1,225,0.2942222222222222
2019,413,1,1,1,Shorthead Redhorse,Benthic invertivore,1,225,0.0044444444444444444
2020,119,1,0.5,1,Channel Catfish,Omnivore,5,75,0.006666666666666667
2020,134,1,21.580000000000002,47,Freshwater Drum,Benthic invertivore,1,75,0.28773333333333334
2020,402,1,29,6,Carp,Omnivore,5,75,0.38666666666666666
2020,403,1,2.54,1,Quillback,Benthic invertivore,1,75,0.03386666666666667
2020,405,1,17.2,20,White Sucker,Benthic invertivore,1,75,0.22933333333333333
2021,3,1,0.4,2,Silver Lamprey,Parasite,6,225,0.0017777777777777779
2021,113,1,4.1,2,Northern Pike,Piscivore,4,225,0.01822222222222222
2021,119,1,7.6000000000000005,11,Channel Catfish,Omnivore,5,225,0.03377777777777778
2021,132,1,6.9,37,White Perch,Benthic invertivore,1,225,0.03066666666666667
2021,133,1,1.1,4,White Bass,Piscivore,4,225,0.00488888888888889
2021,134,1,72.4,93,Freshwater Drum,Benthic invertivore,1,225,0.32177777777777783
2021,402,1,128,25,Carp,Omnivore,5,225,0.5688888888888889
2021,403,1,13.7,7,Quillback,Benthic invertivore,1,225,0.06088888888888889
2021,405,1,41.2,49,White Sucker,Benthic invertivore,1,225,0.1831111111111111
2021,604,1,0.6,3,Pumpkinseed,General invertivore,3,225,0.0026666666666666666
2021,605,1,0.5,1,Bluegill,General invertivore,3,225,0.0022222222222222222
2021,607,1,0.2,1,Smallmouth Bass,Piscivore,4,225,8.888888888888889e-4
2021,610,1,0.8,1,Black Crappie,Piscivore,4,225,0.0035555555555555557
1971,116,4,0.48234,5,Black Bullhead,Omnivore,5,210,0.002296857142857143
1971,118,4,1.06237,5,Brown Bullhead,Omnivore,5,210,0.005058904761904762
1971,402,2,1.85657,3,Carp,Omnivore,5,210,0.008840809523809523
1971,402,3,13.097318,10,Carp,Omnivore,5,210,0.06236818095238095
1971,402,4,13.52018,10,Carp,Omnivore,5,210,0.06438180952380952
1971,405,3,5.385106,16,White Sucker,Benthic invertivore,1,210,0.025643361904761908
1971,801,3,22.017789,895,Yellow Perch,General invertivore,3,210,0.10484661428571429
1972,118,4,13.859769,111,Brown Bullhead,Omnivore,5,404,0.03430635891089109
1972,402,3,9.877208,7,Carp,Omnivore,5,404,0.024448534653465345
1972,402,4,20.300611,51,Carp,Omnivore,5,404,0.05024903712871287
1972,405,3,2.3329969999999998,11,White Sucker,Benthic invertivore,1,404,0.00577474504950495
1972,610,2,0.48234,17,Black Crappie,Piscivore,4,404,0.0011939108910891088
1972,610,4,0.8951089999999999,17,Black Crappie,Piscivore,4,404,0.0022156163366336633
1972,801,3,34.463941,1289,Yellow Perch,General invertivore,3,404,0.08530678465346535
1973,118,4,0.24117,2,Brown Bullhead,Omnivore,5,170,0.0014186470588235295
1973,402,3,12.35367,10,Carp,Omnivore,5,170,0.07266864705882352
1973,402,4,14.817136,14,Carp,Omnivore,5,170,0.08715962352941176
1973,403,3,0.412769,1,Quillback,Benthic invertivore,1,170,0.0024280529411764705
1973,405,3,4.172722,11,White Sucker,Benthic invertivore,1,170,0.024545423529411765
1974,118,4,5.4256780000000004,35,Brown Bullhead,Omnivore,5,280,0.01937742142857143
1974,402,3,7.815397,3,Carp,Omnivore,5,280,0.027912132142857142
1974,405,3,5.074821,15,White Sucker,Benthic invertivore,1,280,0.018124360714285713
1974,610,3,0.24117,7,Black Crappie,Piscivore,4,280,8.613214285714285e-4
1974,801,3,6.173393,268,Yellow Perch,General invertivore,3,280,0.022047832142857143
